Local Time, UTC, Online Players, Server Load (Avg %), Server Tick Length (Avg ms), Memory (MB), Memory Lua (MB), Factions In Memory, Players In Memory, Sectors In Memory, Sectors w/ players, Longest Sector Update (Max ms), Longest Sector Update (Median ms), Longest Sector Update (Avg ms), Biggest Player Grp (Max), Biggest Player Grp (Median), Biggest Player Grp (Avg), Notes
2021-10-25 00-45-50,2021-10-24 22-45-50,2,5.2,0.2,1701.37,559.301,16,3,10,2,645,1,2.99239,1,1,1,
2021-10-25 00-46-51,2021-10-24 22-46-51,2,1.1,0.2,1702.67,569.551,16,3,10,2,45,2,2.29008,1,1,1,
2021-10-25 00-47-52,2021-10-24 22-47-52,2,1.3,0.8,1704.36,572.05,16,3,10,2,21,2,2.57438,1,1,1,
2021-10-25 00-48-52,2021-10-24 22-48-52,2,1.8,0.5,1810.03,596.535,16,4,12,2,1041,2,5.53554,1,1,1,
2021-10-25 00-49-53,2021-10-24 22-49-53,2,1.1,0.4,1848.98,621.85,16,4,13,2,135,1,2.20413,1,1,1,
2021-10-25 00-50-54,2021-10-24 22-50-54,2,2.1,0.2,1907.88,657.866,16,4,15,2,27,2,3.06198,1,1,1,
2021-10-25 00-51-55,2021-10-24 22-51-55,2,1.6,0.1,1966.9,655.466,16,4,15,1,151,3,4.13223,2,2,2,
2021-10-25 00-52-56,2021-10-24 22-52-56,2,1.3,0.6,1973.97,650.662,16,4,15,1,50,3,3.92066,2,2,2,
2021-10-25 00-53-57,2021-10-24 22-53-57,2,0.9,0,1726.48,439.593,16,4,10,1,43,2,3.19752,2,2,2,
2021-10-25 00-54-58,2021-10-24 22-54-58,2,1,0,1633.18,420.509,16,4,8,1,50,3,4.17851,2,2,2,
2021-10-25 00-55-59,2021-10-24 22-55-59,2,1.8,0.1,1691.57,417.893,16,4,6,1,66,3,4.29835,2,2,2,
2021-10-25 00-57-00,2021-10-24 22-57-00,2,2.1,0,1703.59,404.412,16,4,4,1,45,3,4.48264,2,2,2,
2021-10-25 00-58-01,2021-10-24 22-58-01,2,2.2,0,1715.69,422.461,16,4,4,1,48,3,4.21983,2,2,2,
2021-10-25 00-59-02,2021-10-24 22-59-02,2,1.8,0,1723.68,424.424,16,4,4,1,38,3,3.40826,2,2,2,
2021-10-25 01-00-03,2021-10-24 23-00-03,2,1,0.1,1721.21,430.424,16,4,4,1,13,2,2.07934,2,2,2,
2021-10-25 01-01-04,2021-10-24 23-01-04,2,1,0.1,1720.89,432.293,16,4,4,1,12,2,2.04132,2,2,2,
2021-10-25 01-02-05,2021-10-24 23-02-05,2,1.2,0.1,1721.48,434.534,12,4,4,1,31,2,2.53306,2,2,2,
2021-10-25 01-03-06,2021-10-24 23-03-06,2,1.3,0,1724.89,436.637,12,4,4,1,22,2,2.60165,2,2,2,
2021-10-25 01-04-07,2021-10-24 23-04-07,2,1,0,1724.91,438.493,12,2,4,1,19,2,2.27686,2,2,2,
2021-10-25 01-05-08,2021-10-24 23-05-08,2,1.6,0.1,1726.1,466.774,13,4,5,1,27,2,2.36281,2,2,2,
2021-10-25 01-06-09,2021-10-24 23-06-09,2,1.5,0.2,1733.11,485.318,13,4,6,1,40,2,3.14711,2,2,2,
2021-10-25 01-07-10,2021-10-24 23-07-10,2,1.4,0.2,1739.94,495.782,13,4,7,1,21,3,3.2843,2,2,2,
2021-10-25 01-08-11,2021-10-24 23-08-11,2,1.3,0.4,1745.1,500.2,13,4,7,1,111,3,3.1314,2,2,2,
2021-10-25 01-09-12,2021-10-24 23-09-12,2,2.9,0.4,1749.7,515.088,12,4,7,1,348,4,6.69091,2,2,2,
2021-10-25 01-10-13,2021-10-24 23-10-13,2,1.9,0.1,1747,501.731,13,4,6,1,99,4,4.35372,2,2,2,
2021-10-25 01-11-14,2021-10-24 23-11-14,2,1.9,0.3,1746.62,493.122,13,4,6,1,21,4,4.0314,2,2,2,
2021-10-25 01-12-14,2021-10-24 23-12-14,2,3.3,0.5,1748.16,484.497,13,4,5,1,79,5,7.17851,2,2,2,
2021-10-25 01-13-15,2021-10-24 23-13-15,2,1.9,0,1746.85,481.736,13,4,5,1,30,3,3.95455,2,2,2,
2021-10-25 01-14-16,2021-10-24 23-14-16,2,2,0.2,1646.22,481.447,13,4,5,1,41,4,4.30826,2,2,2,
2021-10-25 01-15-17,2021-10-24 23-15-17,2,2.3,0.1,1645.35,460.243,13,4,4,1,72,3,3.79504,2,2,2,
2021-10-25 01-16-18,2021-10-24 23-16-18,2,2.8,0.1,1645.55,460.991,12,4,4,1,40,3,4.67438,2,2,2,
2021-10-25 01-17-19,2021-10-24 23-17-19,2,3.4,0,1644.63,460.061,12,4,4,1,49,4,6.34545,2,2,2,
2021-10-25 01-18-20,2021-10-24 23-18-20,2,3.1,0.3,1658.17,516.125,13,4,6,2,660,4,5.09917,1,1,1,
2021-10-25 01-19-21,2021-10-24 23-19-21,2,1.9,0.3,1479.08,531.083,13,4,7,1,29,3,3.6,2,2,2,
2021-10-25 01-20-22,2021-10-24 23-20-22,2,2,0.2,1477.63,535.012,13,4,7,1,123,4,5.01983,2,2,2,
2021-10-25 01-21-23,2021-10-24 23-21-23,2,1.6,0.1,1475.61,534.995,13,4,7,1,48,4,4.27934,2,2,2,
2021-10-25 01-22-24,2021-10-24 23-22-24,2,1.6,0.3,1475.92,528.974,13,4,7,1,50,3,4.24463,2,2,2,
2021-10-25 01-23-25,2021-10-24 23-23-25,2,1.9,0.2,1478.56,525.235,13,4,7,1,48,3,4.65372,2,2,2,
2021-10-25 01-24-26,2021-10-24 23-24-26,2,1.7,0.2,1371.62,442.502,13,4,3,1,36,3,3.46198,2,2,2,
2021-10-25 01-25-27,2021-10-24 23-25-27,2,2.5,0.1,1382.06,447.916,13,4,3,1,36,2,2.92231,2,2,2,
2021-10-25 01-26-28,2021-10-24 23-26-28,2,2.1,0.1,1382.73,459.252,13,4,3,1,32,2,2.94876,2,2,2,
2021-10-25 01-27-29,2021-10-24 23-27-29,2,1.7,0.1,1381.68,446.986,13,4,3,1,18,2,2.46942,2,2,2,
2021-10-25 01-28-36,2021-10-24 23-28-36,2,1.7,0.1,5095.77,449.761,13,4,3,1,19,2,2.2876,2,2,2,
2021-10-25 01-29-37,2021-10-24 23-29-37,2,2.2,0,1097.34,450.117,11,4,3,1,34,2,2.45041,2,2,2,
2021-10-25 01-30-37,2021-10-24 23-30-37,2,1.4,0,1106.89,452.178,11,4,3,1,19,2,1.94215,2,2,2,
2021-10-25 01-31-38,2021-10-24 23-31-38,2,1.2,0,1111.7,454.211,11,4,3,1,39,1,1.79835,2,2,2,
2021-10-25 01-32-39,2021-10-24 23-32-39,2,1.1,0,1113.18,452.734,11,4,3,1,25,1,1.54876,2,2,2,
2021-10-25 01-33-40,2021-10-24 23-33-40,2,1.1,0,1114.86,457.55,11,4,3,1,37,1,1.43636,2,2,2,
2021-10-25 01-34-41,2021-10-24 23-34-41,2,1.1,0.1,1128.13,462.512,11,4,3,1,42,1,1.34711,2,2,2,
2021-10-25 01-35-42,2021-10-24 23-35-42,2,1.6,0.1,1163.22,467.507,12,4,3,1,303,2,2.4405,2,2,2,
2021-10-25 01-36-43,2021-10-24 23-36-43,2,2.1,0,1199.63,469.613,12,4,3,1,35,2,3.05785,2,2,2,
2021-10-25 01-37-44,2021-10-24 23-37-44,2,3.3,0.3,1218.44,468.362,12,4,3,1,38,3,4.64132,2,2,2,
2021-10-25 01-38-45,2021-10-24 23-38-45,2,2.3,0.1,1218.94,463.83,12,4,3,1,37,2,3.38347,2,2,2,
2021-10-25 01-39-46,2021-10-24 23-39-46,2,1.7,0.1,1223.38,465.54,12,4,3,1,24,2,2.65289,2,2,2,
2021-10-25 01-40-47,2021-10-24 23-40-47,2,1.2,0.1,1221.84,468.644,12,4,3,1,16,2,1.91322,2,2,2,
2021-10-25 01-41-48,2021-10-24 23-41-48,2,2.1,0.3,1224.93,468.855,14,4,3,1,801,1,2.50661,2,2,2,
2021-10-25 01-42-49,2021-10-24 23-42-49,2,1.8,0.1,1239.01,464.861,14,4,3,1,23,2,2.46198,2,2,2,
2021-10-25 01-43-50,2021-10-24 23-43-50,2,1.1,0.1,1241.58,473.192,14,4,3,1,35,1,1.46529,2,2,2,
2021-10-25 01-44-51,2021-10-24 23-44-51,2,1.1,0.1,1243.6,472.255,14,4,3,1,22,1,1.39504,2,2,2,
2021-10-25 01-45-52,2021-10-24 23-45-52,2,1.6,0,1290.77,495.972,14,4,4,2,62,1,1.3438,1,1,1,
2021-10-25 01-46-53,2021-10-24 23-46-53,2,2,1,1297.73,485.302,14,4,3,1,122,1,1.70083,2,2,2,
2021-10-25 01-47-54,2021-10-24 23-47-54,2,2.9,0.2,1302.43,502.592,14,4,3,2,33,1,1.86942,1,1,1,
2021-10-25 01-48-55,2021-10-24 23-48-55,2,2.2,0.1,1309.16,502.19,14,4,3,1,131,2,2.74132,2,2,2,
2021-10-25 01-49-56,2021-10-24 23-49-56,2,2.6,0.2,1314.57,494.61,14,4,3,1,46,2,3.49339,2,2,2,
