Local Time, UTC, Online Players, Server Load (Avg %), Server Tick Length (Avg ms), Memory (MB), Memory Lua (MB), Factions In Memory, Players In Memory, Sectors In Memory, Sectors w/ players, Longest Sector Update (Max ms), Longest Sector Update (Median ms), Longest Sector Update (Avg ms), Biggest Player Grp (Max), Biggest Player Grp (Median), Biggest Player Grp (Avg), Notes
2021-10-26 21-58-06,2021-10-26 19-58-06,1,5.5,0.2,623.59,282.644,9,2,4,1,887,3,14.3134,1,1,1,
2021-10-26 21-59-07,2021-10-26 19-59-07,1,2.3,0.2,666.887,298.968,9,2,5,1,15,2,2.43884,1,1,1,
2021-10-26 22-00-08,2021-10-26 20-00-08,1,1.2,0.2,684.477,304.979,9,2,6,1,13,2,2.01322,1,1,1,
2021-10-26 22-01-09,2021-10-26 20-01-09,1,1.1,0.3,713.766,308.292,9,2,8,1,18,2,2.01488,1,1,1,
2021-10-26 22-02-10,2021-10-26 20-02-10,1,1.1,0.1,739.867,318.559,10,2,9,1,152,2,2.24959,1,1,1,
2021-10-26 22-03-11,2021-10-26 20-03-11,1,1.2,0.4,1077.96,416.73,12,2,14,1,157,2,2.82893,1,1,1,
2021-10-26 22-04-12,2021-10-26 20-04-12,1,1.2,0.1,1083.44,424.389,12,4,14,1,30,4,4.15124,1,1,1,
2021-10-26 22-05-13,2021-10-26 20-05-13,1,1.5,0.3,1104.25,443.309,12,4,13,1,147,5,6.16033,1,1,1,
2021-10-26 22-06-14,2021-10-26 20-06-14,1,1.9,0.4,1119.02,439.584,12,4,11,1,27,6,6.51983,1,1,1,
2021-10-26 22-07-15,2021-10-26 20-07-15,2,2.9,0.4,1191.38,477.306,12,4,9,2,719,7,17.6934,1,1,1,
2021-10-26 22-08-16,2021-10-26 20-08-16,2,4.1,0.5,1230.47,492.4,13,4,7,2,79,6,7.35041,1,1,1,
2021-10-26 22-09-17,2021-10-26 20-09-17,2,3.1,0.6,1232.16,500.347,13,4,9,2,36,5,4.97355,1,1,1,
2021-10-26 22-10-18,2021-10-26 20-10-18,2,3.1,0.5,1309.03,514.974,14,4,10,2,561,5,6.05537,1,1,1,
2021-10-26 22-11-19,2021-10-26 20-11-19,2,3.1,0.3,1314.01,537.848,14,4,10,2,77,6,6.85702,1,1,1,
2021-10-26 22-12-19,2021-10-26 20-12-19,2,2.8,0.3,1334.61,544.749,14,4,11,2,794,5,6.61157,1,1,1,
2021-10-26 22-13-20,2021-10-26 20-13-20,2,1.9,0.4,1359.41,557.668,14,4,14,2,51,4,3.74215,1,1,1,
2021-10-26 22-14-21,2021-10-26 20-14-21,2,1.8,0.6,1365.27,563.912,14,4,15,2,461,4,4.06033,1,1,1,
2021-10-26 22-15-22,2021-10-26 20-15-22,2,1.7,0.3,1364,553.156,14,4,15,2,15,4,3.61322,1,1,1,
2021-10-26 22-16-23,2021-10-26 20-16-23,2,1.5,0.1,1365.43,564.35,14,4,18,2,19,4,3.5719,1,1,1,
2021-10-26 22-17-24,2021-10-26 20-17-24,2,1.4,0.4,1386.38,571.304,15,4,18,1,107,3,3.39835,2,2,2,
2021-10-26 22-18-25,2021-10-26 20-18-25,2,1.7,0.4,1396.01,471.744,15,4,12,1,138,4,5.6405,2,2,2,
2021-10-26 22-19-26,2021-10-26 20-19-26,2,1.6,0.4,1320.02,467.103,15,4,9,1,40,3,3.79669,2,2,2,
2021-10-26 22-20-27,2021-10-26 20-20-27,2,1.4,0.3,1321.87,469.918,15,4,10,1,17,3,3.02645,2,2,2,
2021-10-26 22-21-28,2021-10-26 20-21-28,3,2.9,3.1,1794.55,631.092,18,4,15,3,496,4,4.59174,1,1,1,
2021-10-26 22-22-29,2021-10-26 20-22-29,3,2.9,0.8,2146.58,732.598,18,4,17,3,142,4,4.55041,1,1,1,
2021-10-26 22-23-30,2021-10-26 20-23-30,3,2.6,0.7,2139.03,747.35,18,4,21,3,102,5,5.31405,1,1,1,
2021-10-26 22-24-31,2021-10-26 20-24-31,3,2.8,0.8,2164.73,778.189,18,4,24,2,152,5,6.56281,2,2,1,
2021-10-26 22-25-32,2021-10-26 20-25-32,3,3.2,1.3,2170.54,782.381,18,4,23,2,81,7,9.28099,2,2,1,
2021-10-26 22-26-33,2021-10-26 20-26-33,3,3.9,1,2219.88,780.593,18,4,20,2,100,9,12.3579,2,2,1,
2021-10-26 22-27-34,2021-10-26 20-27-34,3,4.2,1.2,2418.83,850.959,18,4,16,2,663,8,9.5876,2,2,1,
2021-10-26 22-28-35,2021-10-26 20-28-35,3,5.8,1.1,2420.15,713.546,18,4,8,2,135,10,12.2479,2,2,1,
2021-10-26 22-29-36,2021-10-26 20-29-36,3,8.2,0.4,2423.22,695.667,18,4,6,2,118,10,11.8198,2,2,1,
2021-10-26 22-30-37,2021-10-26 20-30-37,3,6.7,0.4,2424.03,693.819,18,4,6,2,49,9,9.27851,2,2,1,
2021-10-26 22-31-38,2021-10-26 20-31-38,3,5.4,0.6,2422.59,700.37,18,4,6,2,34,6,6.87438,2,2,1,
