Local Time, UTC, Online Players, Server Load (Avg %), Server Tick Length (Avg ms), Memory (MB), Memory Lua (MB), Factions In Memory, Players In Memory, Sectors In Memory, Sectors w/ players, Longest Sector Update (Max ms), Longest Sector Update (Median ms), Longest Sector Update (Avg ms), Biggest Player Grp (Max), Biggest Player Grp (Median), Biggest Player Grp (Avg), Notes
2021-10-20 14-47-13,2021-10-20 12-47-13,1,5.2,0.1,1281.64,622.826,13,1,5,1,731,2,14.1388,1,1,1,
2021-10-20 14-48-13,2021-10-20 12-48-13,1,1.8,0.1,1287.75,626.555,13,1,5,1,37,2,2.61405,1,1,1,
2021-10-20 14-49-14,2021-10-20 12-49-14,1,1.8,0.4,1289.62,637.785,13,1,5,1,15,2,2.61736,1,1,1,
2021-10-20 14-50-15,2021-10-20 12-50-15,1,2.5,0.3,1708.56,804.419,13,1,8,1,150,3,3.05041,1,1,1,
2021-10-20 14-51-16,2021-10-20 12-51-16,1,1.8,0.2,1709.18,809.426,14,1,9,1,97,3,3.3405,1,1,1,
2021-10-20 14-52-17,2021-10-20 12-52-17,1,1.7,0.4,2116.01,983.293,16,1,13,1,146,2,3.28926,1,1,1,
2021-10-20 14-53-18,2021-10-20 12-53-18,1,1.4,0.3,2163.55,1008.43,17,4,13,1,29,3,3.02066,1,1,1,
2021-10-20 14-54-19,2021-10-20 12-54-19,1,1.4,0.1,2217.05,1015.37,18,4,13,1,28,3,2.97769,1,1,1,
