Local Time, UTC, Online Players, Server Load (Avg %), Server Tick Length (Avg ms), Memory (MB), Memory Lua (MB), Factions In Memory, Players In Memory, Sectors In Memory, Sectors w/ players, Longest Sector Update (Max ms), Longest Sector Update (Median ms), Longest Sector Update (Avg ms), Biggest Player Grp (Max), Biggest Player Grp (Median), Biggest Player Grp (Avg), Notes
2021-10-24 05-23-49,2021-10-24 03-23-49,1,3.6,0.2,624.465,283.131,14,2,4,1,929,3,7.7958,1,1,1,
2021-10-24 05-24-50,2021-10-24 03-24-50,1,2.3,0.2,649.082,291.89,14,2,4,1,29,3,3.75537,1,1,1,
2021-10-24 05-25-51,2021-10-24 03-25-51,1,3,0.3,678.449,294.56,14,4,4,1,122,4,4.98347,1,1,1,
2021-10-24 05-26-52,2021-10-24 03-26-52,1,2.7,0.3,691.234,297.599,14,4,4,1,40,4,4.5438,1,1,1,
2021-10-24 05-27-53,2021-10-24 03-27-53,1,2.6,0,693.398,296.616,14,4,4,1,18,4,4.33471,1,1,1,
2021-10-24 05-28-54,2021-10-24 03-28-54,1,2.3,0.2,710.027,294.282,14,4,4,1,18,4,3.64132,1,1,1,
2021-10-24 05-29-55,2021-10-24 03-29-55,1,2.2,0.1,709,295.648,14,4,4,1,19,3,3.33223,1,1,1,
2021-10-24 05-30-56,2021-10-24 03-30-56,1,2,0.3,745.465,310.069,14,4,4,1,822,1,3.48678,1,1,1,
2021-10-24 05-31-57,2021-10-24 03-31-57,1,1.6,0.1,771.25,313.148,14,4,4,1,140,2,2.37273,1,1,1,
