Local Time, UTC, Online Players, Server Load (Avg %), Server Tick Length (Avg ms), Memory (MB), Memory Lua (MB), Factions In Memory, Players In Memory, Sectors In Memory, Sectors w/ players, Longest Sector Update (Max ms), Longest Sector Update (Median ms), Longest Sector Update (Avg ms), Biggest Player Grp (Max), Biggest Player Grp (Median), Biggest Player Grp (Avg), Notes
2021-10-24 17-34-37,2021-10-24 15-34-37,1,3.1,0.3,628.496,277.728,15,2,4,1,832,0,4.31926,1,1,1,
2021-10-24 17-35-38,2021-10-24 15-35-38,1,1.6,0.2,711.754,289.348,18,2,5,1,46,2,1.9686,1,1,1,
2021-10-24 17-36-39,2021-10-24 15-36-39,1,1.9,0.2,712.551,291.061,18,4,5,1,49,3,3.07851,1,1,1,
2021-10-24 17-37-40,2021-10-24 15-37-40,1,2.4,0,723.352,302.152,18,4,5,1,124,4,4.20165,1,1,1,
2021-10-24 17-38-41,2021-10-24 15-38-41,2,3.2,0.1,847.895,362.567,18,4,6,2,598,5,10.0041,1,1,1,
2021-10-24 17-39-42,2021-10-24 15-39-42,2,3.5,0.2,869.457,363.176,18,4,6,2,22,5,5.44132,1,1,1,
2021-10-24 17-40-42,2021-10-24 15-40-42,2,4.4,0.4,1313.31,494.086,21,4,7,2,44,5,5.45868,1,1,1,
2021-10-24 17-41-43,2021-10-24 15-41-43,2,4.4,1,1576.62,575.764,21,4,10,2,1220,7,8.6281,1,1,1,
2021-10-24 17-42-44,2021-10-24 15-42-44,2,4.4,0.5,1583.27,580.326,21,4,10,2,47,8,8.50992,1,1,1,
2021-10-24 17-43-45,2021-10-24 15-43-45,2,3.8,0.4,1595.05,584.354,21,4,10,2,92,7,7.71653,1,1,1,
2021-10-24 17-44-46,2021-10-24 15-44-46,2,4.3,0.5,1651.02,579.254,21,4,10,2,196,7,7.55372,1,1,1,
2021-10-24 17-45-47,2021-10-24 15-45-47,2,3.4,0.5,1660.7,570.815,21,4,9,2,51,6,6.24711,1,1,1,
2021-10-24 17-46-48,2021-10-24 15-46-48,2,4,0.5,1660.3,574.694,21,4,8,2,98,6,6.34876,1,1,1,
2021-10-24 17-47-49,2021-10-24 15-47-49,2,3.8,0.3,1660.21,579.643,21,4,8,2,25,6,5.80579,1,1,1,
2021-10-24 17-48-50,2021-10-24 15-48-50,2,3.7,0.5,1844.6,629.303,22,4,9,2,20,5,5.68099,1,1,1,
2021-10-24 17-49-51,2021-10-24 15-49-51,2,3.5,0.4,1854.87,652.288,23,4,10,2,114,6,6.24711,1,1,1,
2021-10-24 17-50-52,2021-10-24 15-50-52,2,3.9,0.6,1863.88,657.572,23,4,10,2,114,7,7.70909,1,1,1,
2021-10-24 17-51-53,2021-10-24 15-51-53,2,3.8,0.3,1864.76,655.786,23,4,10,2,38,7,7.31405,1,1,1,
2021-10-24 17-52-54,2021-10-24 15-52-54,2,3.9,0.5,1863.65,641.664,23,4,10,2,50,7,7.47355,1,1,1,
2021-10-24 17-53-55,2021-10-24 15-53-55,2,3.8,4.4,1834.45,487.823,23,4,6,2,40,6,6.21405,1,1,1,
2021-10-24 17-54-56,2021-10-24 15-54-56,2,4.4,0.2,1833.94,499.416,23,4,6,2,79,5,5.6157,1,1,1,
2021-10-24 17-55-57,2021-10-24 15-55-57,1,4,0.3,1835.53,463.486,23,4,6,1,41,5,5.37603,1,1,1,
