Local Time, UTC, Online Players, Server Load (Avg %), Server Tick Length (Avg ms), Memory (MB), Memory Lua (MB), Factions In Memory, Players In Memory, Sectors In Memory, Sectors w/ players, Longest Sector Update (Max ms), Longest Sector Update (Median ms), Longest Sector Update (Avg ms), Biggest Player Grp (Max), Biggest Player Grp (Median), Biggest Player Grp (Avg), Notes
2021-10-23 22-49-56,2021-10-23 20-49-56,1,3.7,0.1,724.703,305.901,13,1,6,1,719,1,3.50168,1,1,1,
2021-10-23 22-50-57,2021-10-23 20-50-57,1,0.9,0.2,740.219,315.717,13,1,8,1,17,1,1.46612,1,1,1,
2021-10-23 22-51-57,2021-10-23 20-51-57,1,1,0,834.184,333.121,14,4,10,1,187,2,2.27273,1,1,1,
2021-10-23 22-52-58,2021-10-23 20-52-58,1,0.8,0.3,851.016,337.973,14,4,10,1,31,2,2.05702,1,1,1,
2021-10-23 22-53-59,2021-10-23 20-53-59,2,1.2,0.1,990.633,395.852,17,4,12,2,634,2,3.4124,1,1,1,
2021-10-23 22-55-00,2021-10-23 20-55-00,2,1.3,0.2,1185.74,419.779,19,4,13,2,41,2,2.53388,1,1,1,
2021-10-23 22-56-01,2021-10-23 20-56-01,2,1.6,0.2,1215.92,417.394,20,4,11,2,77,3,3.8686,1,1,1,
2021-10-23 22-57-02,2021-10-23 20-57-02,2,1.6,0.4,1172.5,420.336,20,4,10,2,44,3,3.31157,1,1,1,
2021-10-23 22-58-03,2021-10-23 20-58-03,2,1.1,0.2,1190.12,411.199,20,4,9,2,43,2,2.46612,1,1,1,
2021-10-23 22-59-04,2021-10-23 20-59-04,2,1.5,0.3,1353.36,472.183,21,4,11,2,169,2,3.25455,1,1,1,
2021-10-23 23-00-05,2021-10-23 21-00-05,2,2.4,0.2,1376.1,492.432,21,4,10,2,65,4,5.0157,1,1,1,
2021-10-23 23-01-06,2021-10-23 21-01-06,2,2.3,0.4,1502.31,491.813,21,4,11,2,150,6,6.34711,1,1,1,
2021-10-23 23-02-07,2021-10-23 21-02-07,1,1.9,0.3,1503.61,433.73,21,4,10,1,35,5,5.84711,1,1,1,
2021-10-23 23-03-08,2021-10-23 21-03-08,2,1.7,0.3,1504.79,477.767,21,4,10,2,772,3,5.13471,1,1,1,
2021-10-23 23-04-09,2021-10-23 21-04-09,2,1.4,0.2,1509.31,474.194,21,4,9,2,44,3,3.24959,1,1,1,
2021-10-23 23-05-10,2021-10-23 21-05-10,2,2.4,0.6,1883.72,569.94,22,4,12,2,201,4,4.80083,1,1,1,
2021-10-23 23-06-11,2021-10-23 21-06-11,2,1.7,0,1871.83,574.017,22,4,10,2,49,4,3.88099,1,1,1,
2021-10-23 23-07-12,2021-10-23 21-07-12,2,1.4,0.1,1871.4,576.568,22,4,11,2,31,2,2.76612,1,1,1,
2021-10-23 23-08-13,2021-10-23 21-08-13,2,1.6,0.2,1882.44,579.533,22,4,12,2,176,3,3.19587,1,1,1,
2021-10-23 23-09-14,2021-10-23 21-09-14,2,1.5,0.2,1907.52,594.093,22,4,12,2,32,3,3.25868,1,1,1,
2021-10-23 23-10-14,2021-10-23 21-10-14,2,2,0.3,1938.88,615.794,22,4,12,2,90,3,3.94628,1,1,1,
2021-10-23 23-11-15,2021-10-23 21-11-15,2,2.1,0.4,1927.66,519.028,22,4,9,2,47,4,4.34711,1,1,1,
2021-10-23 23-12-16,2021-10-23 21-12-16,2,2.3,0.1,1927.67,518.697,22,4,8,2,42,4,4.00661,1,1,1,
2021-10-23 23-13-17,2021-10-23 21-13-17,2,2.5,0.2,1927.67,502.254,22,4,6,2,37,3,3.86033,1,1,1,
2021-10-23 23-14-18,2021-10-23 21-14-18,2,2.8,0.3,1928.28,517.007,22,4,7,2,39,3,4.00165,1,1,1,
2021-10-23 23-15-19,2021-10-23 21-15-19,2,1.7,0.3,1922.61,524.128,22,4,8,2,33,2,2.71983,1,1,1,
2021-10-23 23-16-20,2021-10-23 21-16-20,2,1.3,0.2,1921.3,527.92,22,4,8,1,22,2,2.24793,2,2,2,
2021-10-23 23-17-21,2021-10-23 21-17-21,2,1.6,3.5,1931.58,588.396,27,4,10,2,251,2,2.86116,1,1,1,
2021-10-23 23-18-22,2021-10-23 21-18-22,2,1.9,0.2,1956.71,638.601,29,4,12,2,251,3,3.90661,1,1,1,
2021-10-23 23-19-23,2021-10-23 21-19-23,2,1.5,0.2,1966.48,585.05,30,4,11,2,96,3,2.9843,1,1,1,
2021-10-23 23-20-24,2021-10-23 21-20-24,2,1.6,0.4,1968.46,588.828,30,4,12,2,81,2,2.64711,1,1,1,
2021-10-23 23-21-25,2021-10-23 21-21-25,2,1.1,0.2,1968.48,597.196,30,4,14,2,13,2,2.43388,1,1,1,
2021-10-23 23-22-26,2021-10-23 21-22-26,2,1.2,0.1,1996.11,654.388,30,4,15,2,35,3,3.10496,1,1,1,
2021-10-23 23-23-27,2021-10-23 21-23-27,2,1.4,0.1,2029.32,663.039,30,4,17,2,49,4,4.39422,1,1,1,
2021-10-23 23-24-28,2021-10-23 21-24-28,2,1.6,0.2,2026.89,577.566,30,4,14,2,30,3,3.78347,1,1,1,
2021-10-23 23-25-29,2021-10-23 21-25-29,2,1.8,0.2,2028.62,573.074,30,4,10,2,47,4,4.04463,1,1,1,
2021-10-23 23-26-30,2021-10-23 21-26-30,2,2.1,0.2,2030.93,545.434,30,4,6,2,26,3,3.56364,1,1,1,
2021-10-23 23-27-31,2021-10-23 21-27-31,2,2.7,0.1,2029.75,548.966,30,4,6,2,21,3,3.47438,1,1,1,
2021-10-23 23-28-31,2021-10-23 21-28-31,2,3.1,0.4,2022.64,541.049,30,4,5,2,30,3,3.6595,1,1,1,
2021-10-23 23-29-32,2021-10-23 21-29-32,2,3.2,0.4,2027.91,540.573,30,4,5,2,25,3,3.5719,1,1,1,
2021-10-23 23-30-33,2021-10-23 21-30-33,2,3.4,0.3,2027.97,538.645,30,4,5,2,73,3,3.70661,1,1,1,
2021-10-23 23-31-34,2021-10-23 21-31-34,2,3,0.2,2029.2,543.41,30,4,7,2,51,4,4.00578,1,1,1,
2021-10-23 23-32-35,2021-10-23 21-32-35,2,2,0.2,2027.35,549.599,30,4,8,2,44,3,3.37355,1,1,1,
2021-10-23 23-33-36,2021-10-23 21-33-36,2,2,0.3,2029.34,555.316,30,4,9,2,56,3,3.64298,1,1,1,
2021-10-23 23-34-37,2021-10-23 21-34-37,2,1.6,0.2,2025.16,557.83,30,4,10,2,27,3,3.54876,1,1,1,
2021-10-23 23-35-38,2021-10-23 21-35-38,2,1.8,0.3,2042.2,604.519,30,4,12,2,167,3,3.60248,1,1,1,
2021-10-23 23-36-39,2021-10-23 21-36-39,2,1.8,0.4,2136.5,646.73,30,4,14,2,30,3,3.60165,1,1,1,
2021-10-23 23-37-40,2021-10-23 21-37-40,2,1.5,0.2,2432.27,732.711,30,4,18,2,167,3,3.42231,1,1,1,
2021-10-23 23-38-41,2021-10-23 21-38-41,2,1.3,0.4,2448.93,773.108,30,4,21,2,153,3,3.31405,1,1,1,
2021-10-23 23-39-42,2021-10-23 21-39-42,2,2,0.7,2996.49,976.139,32,4,26,2,204,3,3.64463,1,1,1,
2021-10-23 23-40-43,2021-10-23 21-40-43,2,2.5,0.8,3082.57,988.255,32,4,27,2,62,3,3.58347,1,1,1,
2021-10-23 23-41-44,2021-10-23 21-41-44,2,2,0.8,3099.46,969.298,32,4,30,2,36,2,3.07355,1,1,1,
2021-10-23 23-42-54,2021-10-23 21-42-54,2,1.6,0.6,3145.47,883.322,32,4,28,2,49,2,2.95702,1,1,1,
2021-10-23 23-43-54,2021-10-23 21-43-54,2,2.1,0.7,2971.07,829.724,32,4,27,2,158,3,3.76364,1,1,1,
2021-10-23 23-44-55,2021-10-23 21-44-55,2,1.4,0.4,2993.63,837.403,32,4,24,2,34,3,4.00331,1,1,1,
2021-10-23 23-45-56,2021-10-23 21-45-56,2,1.5,0.3,2962.49,723.113,32,4,21,2,360,4,4.45702,1,1,1,
2021-10-23 23-46-57,2021-10-23 21-46-57,2,1,0.3,2959.23,734.668,32,4,21,2,39,3,3.1719,1,1,1,
2021-10-23 23-47-58,2021-10-23 21-47-58,2,1.2,0.3,2813.51,639.332,32,4,14,2,40,4,4.17851,1,1,1,
2021-10-23 23-48-59,2021-10-23 21-48-59,2,2,0.3,2860.41,682.264,32,4,13,2,184,4,4.05702,1,1,1,
2021-10-23 23-50-00,2021-10-23 21-50-00,2,1.8,0.3,2874.06,681.298,32,4,12,2,28,4,4.16116,1,1,1,
2021-10-23 23-51-01,2021-10-23 21-51-01,2,2.7,0.6,3425.62,718.599,32,4,11,2,101,4,4.12727,1,1,1,
2021-10-23 23-52-02,2021-10-23 21-52-02,2,2.3,0.7,3256.48,787.485,32,4,14,2,50,3,3.36281,1,1,1,
2021-10-23 23-53-03,2021-10-23 21-53-03,2,2.5,0.7,3260.42,789.29,32,4,13,2,49,3,3.50909,1,1,1,
2021-10-23 23-54-04,2021-10-23 21-54-04,2,2.5,0.6,3257.7,789.238,32,4,12,2,21,3,3.23719,1,1,1,
2021-10-23 23-55-05,2021-10-23 21-55-05,2,2.4,0.8,3245.43,785.474,32,4,12,2,27,3,3.17603,1,1,1,
2021-10-23 23-56-06,2021-10-23 21-56-06,2,2.4,0.6,3249.07,797.964,32,4,11,2,50,3,3.20248,1,1,1,
2021-10-23 23-57-07,2021-10-23 21-57-07,2,3.1,0.9,3308.61,911.537,32,4,12,2,137,3,3.53884,1,1,1,
2021-10-23 23-58-08,2021-10-23 21-58-08,2,3,0.9,3302.49,893.998,32,4,12,2,47,3,3.53388,1,1,1,
2021-10-23 23-59-09,2021-10-23 21-59-09,2,3.1,0.9,3295.21,834.747,32,4,9,2,50,3,3.91818,1,1,1,
2021-10-24 00-00-10,2021-10-23 22-00-10,2,3.3,0.6,3297.49,823.479,32,4,8,2,47,4,3.89835,1,1,1,
2021-10-24 00-01-11,2021-10-23 22-01-11,2,3.3,0.4,3324.18,826.727,32,4,8,2,48,3,3.58926,1,1,1,
2021-10-24 00-02-11,2021-10-23 22-02-11,2,3.4,0.2,3106.96,710.945,32,4,5,2,48,3,3.6124,1,1,1,
2021-10-24 00-03-12,2021-10-23 22-03-12,2,3.5,0.3,3120.14,715.396,32,4,5,2,44,3,3.64132,1,1,1,
2021-10-24 00-04-13,2021-10-23 22-04-13,2,3.5,0.2,3122.01,714.75,32,4,5,2,13,3,3.57438,1,1,1,
2021-10-24 00-05-14,2021-10-23 22-05-14,2,4,0.4,3142.23,654.566,32,4,4,2,46,4,4.33884,1,1,1,
2021-10-24 00-06-15,2021-10-23 22-06-15,2,5.1,0.3,3155.23,674.4,32,4,4,2,45,4,4.5719,1,1,1,
2021-10-24 00-07-16,2021-10-23 22-07-16,2,3.9,0.4,3191.98,750.53,15,4,7,2,105,4,4.04132,1,1,1,
2021-10-24 00-08-17,2021-10-23 22-08-17,2,3,0.7,3211.87,760.133,15,4,7,2,39,4,3.9876,1,1,1,
2021-10-24 00-09-18,2021-10-23 22-09-18,2,2.5,0.4,3256.43,867.965,16,4,10,2,116,3,3.39504,1,1,1,
2021-10-24 00-10-19,2021-10-23 22-10-19,2,2.5,0.5,3265.73,945.626,18,4,12,2,36,3,3.35702,1,1,1,
2021-10-24 00-11-20,2021-10-23 22-11-20,2,2.4,0.3,3264.79,950.843,18,4,12,2,54,3,3.52149,1,1,1,
2021-10-24 00-12-21,2021-10-23 22-12-21,2,2.5,0.5,3278.39,949.017,19,4,12,2,46,3,3.61488,1,1,1,
2021-10-24 00-13-22,2021-10-23 22-13-22,2,3.1,1.1,3570.31,993.718,19,4,13,2,43,4,4.4595,1,1,1,
2021-10-24 00-14-23,2021-10-23 22-14-23,2,3.6,1.5,3563.71,1016,19,4,14,2,200,3,4.06281,1,1,1,
2021-10-24 00-15-24,2021-10-23 22-15-24,2,4,1.1,3577.55,1072.73,19,4,16,2,160,3,4.17107,1,1,1,
2021-10-24 00-16-25,2021-10-23 22-16-25,2,3.4,1.1,3576.14,1062.46,19,4,16,2,38,3,3.55124,1,1,1,
2021-10-24 00-17-26,2021-10-23 22-17-26,2,3.3,1.2,3573.11,1068.37,19,4,16,2,32,3,3.56942,1,1,1,
2021-10-24 00-18-27,2021-10-23 22-18-27,2,3.2,1,3536.84,812.586,19,4,12,2,36,3,3.49504,1,1,1,
2021-10-24 00-19-28,2021-10-23 22-19-28,2,2.8,0.5,3366.23,730.201,19,4,10,2,14,3,3.27521,1,1,1,
2021-10-24 00-20-28,2021-10-23 22-20-28,2,2.4,0.3,3371.57,658.252,19,4,7,2,43,3,3.51736,1,1,1,
2021-10-24 00-21-29,2021-10-23 22-21-29,2,2.8,0.3,3392.46,662.143,19,4,7,2,41,3,3.48264,1,1,1,
2021-10-24 00-22-30,2021-10-23 22-22-30,2,2.6,0.4,3385.7,663.971,19,4,7,2,14,3,3.34793,1,1,1,
2021-10-24 00-23-31,2021-10-23 22-23-31,2,2.7,0.1,3388.17,650.283,19,4,7,2,19,3,3.37438,1,1,1,
2021-10-24 00-24-32,2021-10-23 22-24-32,2,2.7,0.3,3399.59,676.995,19,4,7,2,84,3,3.78099,1,1,1,
2021-10-24 00-25-33,2021-10-23 22-25-33,2,2.7,0.4,3405.18,675.14,13,2,7,2,34,3,3.66116,1,1,1,
2021-10-24 00-26-34,2021-10-23 22-26-34,2,3.2,0.2,3410.42,690.983,13,2,7,2,201,4,4.53223,1,1,1,
2021-10-24 00-27-35,2021-10-23 22-27-35,2,2.7,0.4,3406.22,685.058,13,2,7,2,39,3,3.69008,1,1,1,
2021-10-24 00-28-36,2021-10-23 22-28-36,2,2.7,0.3,3406.98,686.353,12,2,7,2,37,3,3.47603,1,1,1,
2021-10-24 00-29-37,2021-10-23 22-29-37,2,2.6,0.3,3412.34,688.948,12,2,7,2,43,3,3.51653,1,1,1,
2021-10-24 00-30-38,2021-10-23 22-30-38,2,2.8,0.2,3405.48,698.19,12,2,7,2,98,3,3.89587,1,1,1,
2021-10-24 00-31-39,2021-10-23 22-31-39,2,3.1,0.5,3414.78,700.071,12,2,7,2,40,4,4.3281,1,1,1,
2021-10-24 00-32-40,2021-10-23 22-32-40,2,2.6,0.6,3417.82,701.793,12,2,8,2,41,3,3.56281,1,1,1,
2021-10-24 00-33-40,2021-10-23 22-33-40,3,2.5,0.5,3442.94,781.844,14,3,13,3,596,3,4.60248,1,1,1,
2021-10-24 00-34-41,2021-10-23 22-34-41,3,2.2,0.6,3439.7,789.349,14,3,16,3,41,3,3.58595,1,1,1,
2021-10-24 00-35-42,2021-10-23 22-35-42,3,2.1,0.7,3445.05,825.583,15,3,19,3,38,3,3.71983,1,1,1,
2021-10-24 00-36-43,2021-10-23 22-36-43,3,1.9,0.5,3439.36,837.185,15,4,20,3,19,3,3.4876,1,1,1,
2021-10-24 00-37-44,2021-10-23 22-37-44,3,1.9,0.4,3177.52,765.258,15,4,17,3,33,3,3.5124,1,1,1,
2021-10-24 00-38-45,2021-10-23 22-38-45,3,1.9,0.4,3181.02,743.06,15,4,15,3,19,3,3.49587,1,1,1,
2021-10-24 00-39-46,2021-10-23 22-39-46,3,2,0.2,3190.12,759.505,15,4,13,3,19,3,3.44215,1,1,1,
2021-10-24 00-40-47,2021-10-23 22-40-47,3,2.7,0.2,3198.25,693.391,15,4,8,3,20,3,3.53223,1,1,1,
2021-10-24 00-41-48,2021-10-23 22-41-48,3,3.2,0.2,3235.57,688.132,15,4,7,3,50,3,3.65372,1,1,1,
2021-10-24 00-42-49,2021-10-23 22-42-49,3,3,0.4,3228.89,688.061,15,4,7,3,35,3,3.36281,1,1,1,
2021-10-24 00-43-50,2021-10-23 22-43-50,3,3.2,0.4,3398.06,775.134,17,4,10,3,47,3,3.50909,1,1,1,
2021-10-24 00-44-51,2021-10-23 22-44-51,3,2.6,0.3,3400.8,773.667,17,4,10,3,42,3,3.38926,1,1,1,
2021-10-24 00-45-52,2021-10-23 22-45-52,3,2.8,0.3,3407.02,789.011,18,4,10,3,47,3,3.68099,1,1,1,
2021-10-24 00-46-53,2021-10-23 22-46-53,3,3,0.5,3498.34,842.07,19,4,13,3,106,3,3.57438,1,1,1,
2021-10-24 00-47-54,2021-10-23 22-47-54,3,2.6,1,3552.85,978.89,20,4,19,2,45,3,3.19669,2,2,1,
2021-10-24 00-48-55,2021-10-23 22-48-55,3,2.8,1.1,3567.83,1029.95,24,4,20,2,69,3,3.1438,2,2,1,
2021-10-24 00-49-56,2021-10-23 22-49-56,2,2.9,1.3,3620.3,1078.12,24,4,22,2,39,3,3.09917,1,1,1,
2021-10-24 00-50-57,2021-10-23 22-50-57,2,3.4,1.2,3615.29,1052.56,24,4,20,2,44,3,3.37769,1,1,1,
2021-10-24 00-51-58,2021-10-23 22-51-58,3,3.8,1.2,3586.41,937.892,24,4,16,2,786,3,5.7124,2,2,1,
2021-10-24 00-52-59,2021-10-23 22-52-59,3,3.4,1.2,3560.11,840.78,24,4,9,2,37,3,3.40909,2,2,1,
2021-10-24 00-54-40,2021-10-23 22-54-40,2,3.5,1,3265.64,712.104,24,4,7,2,27,3,3.19587,1,1,1,
2021-10-24 00-55-41,2021-10-23 22-55-41,2,3.7,0.4,3280.13,643.876,24,4,4,2,26,3,3.11901,1,1,1,
2021-10-24 00-56-42,2021-10-23 22-56-42,3,4.3,0.7,3292.83,688.932,24,4,4,2,65,3,3.01405,2,2,1,
2021-10-24 00-57-47,2021-10-23 22-57-47,2,4.1,0.3,3290.94,651.842,24,4,4,2,18,3,3.10331,1,1,1,
2021-10-24 00-58-48,2021-10-23 22-58-48,3,4.4,0.5,3296.75,686.813,24,4,4,2,25,3,3.18017,2,2,1,
2021-10-24 00-59-49,2021-10-23 22-59-49,3,5.2,1.2,3349.84,780.812,24,4,7,2,50,3,3.79421,2,2,1,
2021-10-24 01-00-50,2021-10-23 23-00-50,3,5,1.1,3384.71,798.081,25,4,7,2,114,5,5.80579,2,2,1,
2021-10-24 01-01-50,2021-10-23 23-01-50,3,4.9,1.2,3393.71,786.683,25,4,7,2,49,5,5.64215,2,2,1,
2021-10-24 01-02-51,2021-10-23 23-02-51,3,5.1,1.3,3410.66,784.394,25,4,7,2,47,5,5.47851,2,2,1,
2021-10-24 01-03-52,2021-10-23 23-03-52,3,4.3,1.2,3414.51,773.004,25,4,7,2,52,5,5.06612,2,2,1,
2021-10-24 01-04-53,2021-10-23 23-04-53,3,4,0.9,3409.58,775.016,25,4,6,2,38,3,3.70331,2,2,1,
2021-10-24 01-05-54,2021-10-23 23-05-54,3,4.8,0.9,3411.84,777.394,26,4,6,2,44,5,5.05785,2,2,1,
2021-10-24 01-06-55,2021-10-23 23-06-55,3,4.6,0.8,3412.09,782.514,26,4,7,2,220,5,5.6719,2,2,1,
2021-10-24 01-07-56,2021-10-23 23-07-56,3,6.1,1.1,3434.11,787.87,26,4,6,2,135,6,7.47934,2,2,1,
2021-10-24 01-08-57,2021-10-23 23-08-57,3,6.5,1.2,3445.46,801.085,26,4,6,2,144,7,8.47025,2,2,1,
2021-10-24 01-09-58,2021-10-23 23-09-58,3,6.3,1.2,3442.79,808.322,26,4,6,2,144,7,8.01901,2,2,1,
2021-10-24 01-10-59,2021-10-23 23-10-59,3,5.9,1.1,3446.64,806.615,26,4,6,2,30,6,6.68595,2,2,1,
2021-10-24 01-12-00,2021-10-23 23-12-00,3,5.3,1.1,3447.5,804.943,26,4,6,2,49,5,5.43388,2,2,1,
2021-10-24 01-13-01,2021-10-23 23-13-01,3,5.3,1.2,3445.05,807.656,26,4,6,2,51,4,4.83719,2,2,1,
