Local Time, UTC, Online Players, Server Load (Avg %), Server Tick Length (Avg ms), Memory (MB), Memory Lua (MB), Factions In Memory, Players In Memory, Sectors In Memory, Sectors w/ players, Longest Sector Update (Max ms), Longest Sector Update (Median ms), Longest Sector Update (Avg ms), Biggest Player Grp (Max), Biggest Player Grp (Median), Biggest Player Grp (Avg), Notes
2021-10-27 00-14-47,2021-10-26 22-14-47,2,5,0.3,1061.38,399.768,11,3,7,1,985,2,9.37046,2,2,2,
2021-10-27 00-15-48,2021-10-26 22-15-48,2,1.8,0.4,1098.89,422.843,12,3,10,2,51,2,2.69421,1,1,1,
2021-10-27 00-16-48,2021-10-26 22-16-48,2,1.2,0.6,1194.18,446.748,14,3,14,2,23,2,2.39091,1,1,1,
2021-10-27 00-17-49,2021-10-26 22-17-49,2,1.2,0.4,1233.41,461.749,14,3,14,1,205,2,2.74545,2,2,2,
2021-10-27 00-18-50,2021-10-26 22-18-50,2,0.9,0.3,1238.55,464.492,14,3,15,1,13,2,2.6281,2,2,2,
2021-10-27 00-19-51,2021-10-26 22-19-51,2,0.9,0.1,1261.97,469.038,14,3,17,1,44,3,2.95207,2,2,2,
2021-10-27 00-20-52,2021-10-26 22-20-52,2,1.3,0.3,1419.15,502.262,14,4,19,2,30,2,2.73884,1,1,1,
2021-10-27 00-21-53,2021-10-26 22-21-53,2,1,0.1,1398.02,446.807,15,4,16,2,200,2,2.62645,1,1,1,
2021-10-27 00-22-54,2021-10-26 22-22-54,2,1.1,0.4,1406.05,451.17,15,4,16,1,42,2,2.4124,2,2,2,
2021-10-27 00-23-55,2021-10-26 22-23-55,2,0.9,0.3,1402.93,456.315,15,4,17,2,13,2,2.05537,1,1,1,
2021-10-27 00-24-56,2021-10-26 22-24-56,2,1.4,0.3,1405.86,468.02,15,4,19,2,45,2,2.52231,1,1,1,
2021-10-27 00-25-57,2021-10-26 22-25-57,2,1.2,0.1,1403.98,461.893,15,4,19,2,102,2,2.74628,1,1,1,
2021-10-27 00-26-58,2021-10-26 22-26-58,2,1,0.3,1447.44,454.464,15,4,19,2,20,2,2.45455,1,1,1,
