Local Time, UTC, Online Players, Server Load (Avg %), Server Tick Length (Avg ms), Memory (MB), Memory Lua (MB), Factions In Memory, Players In Memory, Sectors In Memory, Sectors w/ players, Longest Sector Update (Max ms), Longest Sector Update (Median ms), Longest Sector Update (Avg ms), Biggest Player Grp (Max), Biggest Player Grp (Median), Biggest Player Grp (Avg), Notes
2021-10-19 23-07-11,2021-10-19 21-07-11,1,6.1,0.3,1195.91,395.916,6,2,5,1,829,5,13.8593,1,1,1,
2021-10-19 23-08-12,2021-10-19 21-08-12,2,5,0.3,1701.45,550.744,8,3,8,2,496,6,10.0273,1,1,1,
2021-10-19 23-09-13,2021-10-19 21-09-13,2,4.7,0.4,2397.18,704.182,10,3,11,2,260,7,7.42149,1,1,1,
2021-10-19 23-10-14,2021-10-19 21-10-14,2,4,0.4,2409.72,710.675,10,3,12,2,48,7,6.91488,1,1,1,
2021-10-19 23-11-15,2021-10-19 21-11-15,2,3.6,0.3,2442.39,721.793,11,3,13,2,915,7,7.84545,1,1,1,
2021-10-19 23-12-16,2021-10-19 21-12-16,2,3.6,0.7,2448.3,727.373,11,4,13,2,206,6,7.04463,1,1,1,
2021-10-19 23-13-17,2021-10-19 21-13-17,2,3.2,0.6,2523.5,779.909,11,4,16,2,31,6,6.48347,1,1,1,
2021-10-19 23-14-18,2021-10-19 21-14-18,2,3.2,0.8,2667.05,827.747,11,4,18,2,159,6,6.20331,1,1,1,
2021-10-19 23-15-19,2021-10-19 21-15-19,2,3.4,0.9,2689.98,836.315,11,4,18,2,300,6,6.82066,1,1,1,
2021-10-19 23-16-20,2021-10-19 21-16-20,2,3.1,0.4,2510.21,689.983,11,4,14,2,38,6,6.37025,1,1,1,
2021-10-19 23-17-21,2021-10-19 21-17-21,2,3.8,1.1,2563.61,691.658,11,4,13,2,50,6,6.64711,1,1,1,
2021-10-19 23-18-22,2021-10-19 21-18-22,2,3.5,0.7,2571.43,689.343,11,4,12,2,80,6,6.48678,1,1,1,
2021-10-19 23-19-23,2021-10-19 21-19-23,2,3.8,0.3,2416.02,581.576,12,4,10,2,103,6,6.9876,1,1,1,
2021-10-19 23-20-24,2021-10-19 21-20-24,2,5.4,0.4,2466.15,620.621,14,4,10,2,247,8,8.16364,1,1,1,
2021-10-19 23-21-25,2021-10-19 21-21-25,2,4.5,0.5,2460.15,623.294,14,4,10,2,31,7,7.5405,1,1,1,
2021-10-19 23-22-26,2021-10-19 21-22-26,2,4.3,0.6,2473.61,647.934,14,4,11,2,139,7,7.98678,1,1,1,
2021-10-19 23-23-27,2021-10-19 21-23-27,2,4.4,0.7,2474.63,669.873,14,4,11,2,31,7,7.7438,1,1,1,
2021-10-19 23-24-28,2021-10-19 21-24-28,3,5.2,1,2704.8,840.521,14,4,13,3,543,7,7.8,1,1,1,
2021-10-19 23-25-29,2021-10-19 21-25-29,3,5.7,1,2716.36,779.746,14,4,12,3,213,7,7.72645,1,1,1,
2021-10-19 23-26-30,2021-10-19 21-26-30,3,5.8,1,2721.41,793.555,14,4,12,3,193,8,8.58512,1,1,1,
2021-10-19 23-27-31,2021-10-19 21-27-31,3,6,1.1,2957.84,896.118,14,4,15,3,103,8,8.35455,1,1,1,
2021-10-19 23-28-32,2021-10-19 21-28-32,3,5.6,1.1,3852.9,1107.14,17,4,20,3,38,8,8.18843,1,1,1,
2021-10-19 23-29-33,2021-10-19 21-29-33,3,4.5,1.2,3888.81,1096.12,17,4,21,3,43,7,7.12562,1,1,1,
2021-10-19 23-30-34,2021-10-19 21-30-34,3,4.9,1.2,3841.05,967.122,17,4,18,3,130,7,7.39174,1,1,1,
2021-10-19 23-31-34,2021-10-19 21-31-34,3,4.8,1.2,3850.66,992.681,17,4,19,3,38,7,7.36694,1,1,1,
2021-10-19 23-32-35,2021-10-19 21-32-35,3,4.7,1.1,3850.49,1009.42,17,4,18,3,913,7,8.12397,1,1,1,
2021-10-19 23-33-36,2021-10-19 21-33-36,3,5.8,1,3867.52,867.886,18,4,14,3,147,9,10.019,1,1,1,
2021-10-19 23-34-37,2021-10-19 21-34-37,3,5.2,1.2,3850.29,846.608,18,4,14,3,562,7,8.46529,1,1,1,
2021-10-19 23-35-38,2021-10-19 21-35-38,3,5.4,1.1,3823.03,769.336,18,4,13,3,29,8,7.69917,1,1,1,
2021-10-19 23-36-39,2021-10-19 21-36-39,3,5.3,1.1,3867.39,893.163,18,4,16,3,136,7,7.69752,1,1,1,
2021-10-19 23-37-40,2021-10-19 21-37-40,3,5.3,1.1,3865.2,897.333,18,4,16,3,95,7,7.92479,1,1,1,
2021-10-19 23-38-41,2021-10-19 21-38-41,3,5,1.2,3865.54,884.059,18,4,15,3,34,7,7.32893,1,1,1,
2021-10-19 23-39-42,2021-10-19 21-39-42,3,5.1,1,3856.81,819.905,18,4,12,3,46,7,7.44628,1,1,1,
2021-10-19 23-40-43,2021-10-19 21-40-43,3,5.6,1.1,3856.89,823.703,18,4,13,3,35,8,8.08099,1,1,1,
2021-10-19 23-41-44,2021-10-19 21-41-44,3,5.7,1,3851.19,837.774,18,4,13,3,214,8,8.00992,1,1,1,
2021-10-19 23-42-45,2021-10-19 21-42-45,3,6.3,1.1,3851.95,846.464,18,4,13,3,40,8,8.84711,1,1,1,
2021-10-19 23-43-46,2021-10-19 21-43-46,3,6.2,1,3854.52,886.641,18,4,13,3,664,8,9.71653,1,1,1,
2021-10-19 23-44-47,2021-10-19 21-44-47,3,6.3,1.4,3869.37,896.651,18,4,13,3,38,9,9.32231,1,1,1,
2021-10-19 23-45-48,2021-10-19 21-45-48,3,6.3,1,3873.23,933.629,18,4,13,3,98,8,8.76446,1,1,1,
2021-10-19 23-46-49,2021-10-19 21-46-49,3,5.8,1.1,3839.75,815.692,18,4,13,3,148,7,7.76033,1,1,1,
2021-10-19 23-47-50,2021-10-19 21-47-50,3,5.4,1.1,3864.59,867.539,18,4,16,3,50,7,7.63802,1,1,1,
2021-10-19 23-48-51,2021-10-19 21-48-51,3,5.1,1.2,3857.09,881.963,18,4,16,3,46,8,8.20661,1,1,1,
2021-10-19 23-49-52,2021-10-19 21-49-52,3,5.2,1.1,3862.23,887.096,18,4,16,3,30,8,8.38347,1,1,1,
2021-10-19 23-50-53,2021-10-19 21-50-53,3,4.9,1.5,3861.51,897.609,18,4,17,3,41,8,7.89339,1,1,1,
2021-10-19 23-51-54,2021-10-19 21-51-54,3,4.3,0.9,3631.53,729.615,18,4,12,2,46,7,7.16116,2,2,1,
2021-10-19 23-52-55,2021-10-19 21-52-55,3,4.2,0.7,3637.57,728.952,18,4,10,2,27,7,7.0124,2,2,1,
2021-10-19 23-53-56,2021-10-19 21-53-56,3,4.6,0.6,3644.38,726.435,18,4,10,2,34,7,7.07107,2,2,1,
2021-10-19 23-54-57,2021-10-19 21-54-57,3,4.5,0.8,3654.93,733.022,18,4,10,2,40,7,7.37603,2,2,1,
2021-10-19 23-55-58,2021-10-19 21-55-58,3,4.7,0.4,3636.17,693.017,18,4,8,2,34,7,7.30413,2,2,1,
2021-10-19 23-56-59,2021-10-19 21-56-59,3,5.9,0.7,3689.75,741.874,18,4,8,2,73,8,8.26612,2,2,1,
2021-10-19 23-58-00,2021-10-19 21-58-00,3,5.6,0.5,3698.6,745.564,18,4,8,2,41,7,7.6281,2,2,1,
2021-10-19 23-59-00,2021-10-19 21-59-00,3,5.6,0.8,3685.75,711.911,18,4,10,3,48,7,7.50909,1,1,1,
2021-10-20 00-00-01,2021-10-19 22-00-01,3,5.9,1,3765.89,818.019,19,4,13,3,114,8,8.39174,1,1,1,
2021-10-20 00-01-02,2021-10-19 22-01-02,3,5.4,0.9,3731.25,830.377,19,4,13,3,39,8,7.96694,1,1,1,
2021-10-20 00-02-03,2021-10-19 22-02-03,3,5.2,1.1,3730.26,854.624,19,4,14,3,93,8,8.13223,1,1,1,
2021-10-20 00-03-04,2021-10-19 22-03-04,3,5.4,1.2,3794.8,997.111,19,4,18,3,48,8,8.36364,1,1,1,
2021-10-20 00-04-05,2021-10-19 22-04-05,3,5.2,1.3,3788.47,1002.16,19,4,18,3,48,8,8.3281,1,1,1,
2021-10-20 00-05-06,2021-10-19 22-05-06,3,5.3,1.2,3796.46,1044.96,19,4,16,3,48,8,8.15124,1,1,1,
2021-10-20 00-06-07,2021-10-19 22-06-07,3,5.2,1.2,3834.44,1094.24,19,4,18,3,142,7,7.40083,1,1,1,
2021-10-20 00-07-08,2021-10-19 22-07-08,3,4.9,1.1,3827.26,1084.31,20,4,17,3,142,7,7.43636,1,1,1,
2021-10-20 00-08-09,2021-10-19 22-08-09,3,5.7,1.3,4523.04,1336.09,20,4,22,3,652,7,9.23884,1,1,1,
2021-10-20 00-09-10,2021-10-19 22-09-10,3,5.6,1.7,4697.97,1424.5,20,4,24,3,247,8,8.62645,1,1,1,
2021-10-20 00-10-11,2021-10-19 22-10-11,3,5.5,1.8,4882.69,1465.69,20,4,24,3,48,8,8.44959,1,1,1,
2021-10-20 00-11-12,2021-10-19 22-11-12,3,6,5.2,5323.46,1386.51,20,4,19,3,155,8,8.98926,1,1,1,
2021-10-20 00-12-13,2021-10-19 22-12-13,3,5.5,1.4,5322.08,1443.22,20,4,20,3,48,8,8.10992,1,1,1,
2021-10-20 00-13-14,2021-10-19 22-13-14,3,6.7,1.5,5891.24,1458.15,23,4,21,3,308,8,9.37025,1,1,1,
2021-10-20 00-14-15,2021-10-19 22-14-15,3,5.7,1.5,5779.07,1370.78,23,4,19,3,92,8,8.24628,1,1,1,
2021-10-20 00-15-16,2021-10-19 22-15-16,3,6.4,1.6,5788.44,1414.61,23,4,19,3,48,8,8.29917,1,1,1,
2021-10-20 00-16-17,2021-10-19 22-16-17,3,6.8,1.6,5869.39,1480.8,23,4,19,3,46,8,8.5562,1,1,1,
