Local Time, UTC, Online Players, Server Load (Avg %), Server Tick Length (Avg ms), Memory (MB), Memory Lua (MB), Factions In Memory, Players In Memory, Sectors In Memory, Sectors w/ players, Longest Sector Update (Max ms), Longest Sector Update (Median ms), Longest Sector Update (Avg ms), Biggest Player Grp (Max), Biggest Player Grp (Median), Biggest Player Grp (Avg), Notes
2021-10-20 14-28-43,2021-10-20 12-28-43,1,8.3,0,509.199,247.537,10,1,1,1,701,3,10.8623,1,1,1,
2021-10-20 14-29-44,2021-10-20 12-29-44,1,5.4,0,518.273,250.522,10,1,1,1,11,2,2.63388,1,1,1,
2021-10-20 14-30-45,2021-10-20 12-30-45,1,5.2,0,513.719,248.498,10,1,1,1,22,2,2.59174,1,1,1,
2021-10-20 14-31-46,2021-10-20 12-31-46,1,5.4,0,546.66,253.522,10,1,1,1,49,2,2.74876,1,1,1,
2021-10-20 14-32-47,2021-10-20 12-32-47,1,5.7,0,545.27,252.886,10,1,1,1,45,3,2.90744,1,1,1,
2021-10-20 14-33-48,2021-10-20 12-33-48,1,5.7,0,547.414,255.99,10,1,1,1,17,3,2.77273,1,1,1,
2021-10-20 14-34-49,2021-10-20 12-34-49,1,6.3,0.1,549.984,256.456,10,1,1,1,15,3,2.95455,1,1,1,
2021-10-20 14-35-50,2021-10-20 12-35-50,1,5.9,0,552.199,257.116,10,1,1,1,11,3,2.97851,1,1,1,
2021-10-20 14-36-51,2021-10-20 12-36-51,1,6.9,0.1,560.109,262.746,10,4,1,1,44,3,3.5595,1,1,1,
2021-10-20 14-37-52,2021-10-20 12-37-52,1,8.6,0.2,574.59,264.175,10,4,1,1,46,4,4.57273,1,1,1,
2021-10-20 14-38-53,2021-10-20 12-38-53,1,7.1,0.1,596.273,267.993,9,4,1,1,49,3,3.47851,1,1,1,
2021-10-20 14-39-54,2021-10-20 12-39-54,1,4.1,0.1,596.277,268.128,9,4,1,1,14,3,2.12149,1,1,1,
2021-10-20 14-40-55,2021-10-20 12-40-55,1,1.3,0,596.297,268.251,9,4,1,1,11,0,0.695041,1,1,1,
2021-10-20 14-41-55,2021-10-20 12-41-55,1,7.4,0.2,607.23,291.227,9,4,1,1,131,3,3.66281,1,1,1,
2021-10-20 14-42-56,2021-10-20 12-42-56,1,4.5,0.2,645.656,291.622,9,4,3,1,21,3,2.64132,1,1,1,
2021-10-20 14-43-57,2021-10-20 12-43-57,1,1.1,0.1,664.258,294.376,9,4,4,1,22,1,1.10661,1,1,1,
2021-10-20 14-44-58,2021-10-20 12-44-58,1,0.9,0.1,684.832,297.076,9,4,5,1,31,1,1.44793,1,1,1,
2021-10-20 14-45-59,2021-10-20 12-45-59,1,1.7,0.4,1180.73,434.67,13,4,9,1,48,1,2.26529,1,1,1,
