Local Time, UTC, Online Players, Server Load (Avg %), Server Tick Length (Avg ms), Memory (MB), Memory Lua (MB), Factions In Memory, Players In Memory, Sectors In Memory, Sectors w/ players, Longest Sector Update (Max ms), Longest Sector Update (Median ms), Longest Sector Update (Avg ms), Biggest Player Grp (Max), Biggest Player Grp (Median), Biggest Player Grp (Avg), Notes
2021-10-22 00-24-34,2021-10-21 22-24-34,1,5.8,0.3,909.727,340.988,10,1,7,1,854,7,15.1309,1,1,1,
2021-10-22 00-25-35,2021-10-21 22-25-35,1,3.3,0.2,847.926,344.059,10,1,7,1,18,7,7.05124,1,1,1,
2021-10-22 00-26-36,2021-10-21 22-26-36,1,3.2,0.2,887.91,352.81,10,4,7,1,68,7,7.12149,1,1,1,
2021-10-22 00-27-37,2021-10-21 22-27-37,1,3.1,0.2,897.074,348.901,10,4,7,1,47,6,6.54711,1,1,1,
2021-10-22 00-28-38,2021-10-21 22-28-38,1,3,0.2,894.469,351.953,10,4,7,1,16,6,6.34793,1,1,1,
2021-10-22 00-29-39,2021-10-21 22-29-39,1,3,0.3,896.852,353.724,10,4,7,1,22,6,6.52727,1,1,1,
2021-10-22 00-30-39,2021-10-21 22-30-39,1,2.8,0.3,900.684,347.73,10,4,7,1,20,6,5.93388,1,1,1,
2021-10-22 00-31-40,2021-10-21 22-31-40,1,2.6,0.3,900.551,349.658,10,4,7,1,10,5,5.31405,1,1,1,
2021-10-22 00-32-41,2021-10-21 22-32-41,1,2.5,0.1,912.535,349.683,10,4,7,1,23,5,5.1876,1,1,1,
2021-10-22 00-33-42,2021-10-21 22-33-42,2,3.2,4.7,1363.41,515.922,10,4,11,2,503,5,8.07603,1,1,1,
2021-10-22 00-34-43,2021-10-21 22-34-43,2,4,0.3,1399.6,522.659,10,4,11,2,104,7,7.10909,1,1,1,
2021-10-22 00-35-44,2021-10-21 22-35-44,2,3.4,0.5,1398.67,526.64,10,4,11,2,23,6,6.3843,1,1,1,
2021-10-22 00-36-45,2021-10-21 22-36-45,3,3.8,0.2,1525.12,594.732,10,4,12,3,37,6,6.52562,1,1,1,
2021-10-22 00-37-46,2021-10-21 22-37-46,3,4.1,0.6,1534.04,623.552,10,4,12,3,40,7,7.43967,1,1,1,
2021-10-22 00-38-47,2021-10-21 22-38-47,3,5.8,0.8,1672.05,638.903,10,4,12,3,144,9,10.4074,1,1,1,
