Local Time, UTC, Online Players, Server Load (Avg %), Server Tick Length (Avg ms), Memory (MB), Memory Lua (MB), Factions In Memory, Players In Memory, Sectors In Memory, Sectors w/ players, Longest Sector Update (Max ms), Longest Sector Update (Median ms), Longest Sector Update (Avg ms), Biggest Player Grp (Max), Biggest Player Grp (Median), Biggest Player Grp (Avg), Notes
2021-10-20 15-11-25,2021-10-20 13-11-25,2,6.4,0.1,1157.56,447.36,13,2,5,2,762,3,18.6543,1,1,1,
2021-10-20 15-12-26,2021-10-20 13-12-26,2,2.7,0.3,1173.3,453.941,13,2,5,2,34,3,3.09752,1,1,1,
2021-10-20 15-13-27,2021-10-20 13-13-27,2,2.7,0.2,1186.03,462.729,13,2,5,2,28,3,3.13719,1,1,1,
2021-10-20 15-14-28,2021-10-20 13-14-28,2,2.8,0.3,1222.27,470.484,13,2,5,2,46,3,3.28926,1,1,1,
2021-10-20 15-15-29,2021-10-20 13-15-29,2,3,0.3,1443.27,530.554,14,2,6,2,28,3,3.34793,1,1,1,
2021-10-20 15-16-30,2021-10-20 13-16-30,2,3.2,0.1,1597.08,550.472,16,2,7,2,152,3,4.17603,1,1,1,
2021-10-20 15-17-31,2021-10-20 13-17-31,2,2.4,0.2,1898.18,654.168,17,2,10,2,102,3,3.47273,1,1,1,
2021-10-20 15-18-32,2021-10-20 13-18-32,2,2,0.3,1899.14,663.343,17,2,10,2,49,3,3.47273,1,1,1,
2021-10-20 15-19-33,2021-10-20 13-19-33,2,1.9,0.2,1902.91,666.784,17,2,10,2,21,3,3.41322,1,1,1,
2021-10-20 15-20-34,2021-10-20 13-20-34,2,2.4,0.3,2632.55,824.919,17,2,13,2,162,3,3.97438,1,1,1,
2021-10-20 15-21-35,2021-10-20 13-21-35,2,2.6,0.4,2589.02,707.268,17,2,10,2,155,3,4.47025,1,1,1,
2021-10-20 15-22-36,2021-10-20 13-22-36,2,3.2,0.4,2447.83,638.21,18,2,6,2,30,5,5.68595,1,1,1,
2021-10-20 15-23-37,2021-10-20 13-23-37,2,3.3,0.2,2463.74,638.152,18,2,6,2,40,4,4.59504,1,1,1,
