Local Time, UTC, Online Players, Server Load (Avg %), Server Tick Length (Avg ms), Memory (MB), Memory Lua (MB), Factions In Memory, Players In Memory, Sectors In Memory, Sectors w/ players, Longest Sector Update (Max ms), Longest Sector Update (Median ms), Longest Sector Update (Avg ms), Biggest Player Grp (Max), Biggest Player Grp (Median), Biggest Player Grp (Avg), Notes
2021-10-26 03-48-03,2021-10-26 01-48-03,2,7.2,5.4,771.289,329.044,11,4,4,2,1003,1,15.2466,1,1,1,
2021-10-26 03-49-04,2021-10-26 01-49-04,2,5.2,1.4,811.547,337.038,11,4,5,2,44,3,3.56529,1,1,1,
2021-10-26 03-50-04,2021-10-26 01-50-04,2,5.9,1.6,846.535,341.77,11,4,5,2,158,4,6.51653,1,1,1,
2021-10-26 03-51-04,2021-10-26 01-51-04,2,6.1,3.6,1044.93,389.482,13,4,6,2,1598,3,12.2504,1,1,1,
2021-10-26 03-52-05,2021-10-26 01-52-05,2,4.9,1.6,1042.84,396.46,13,4,6,2,106,4,4.69421,1,1,1,
2021-10-26 03-53-05,2021-10-26 01-53-05,2,6,3.2,1131.7,417.505,13,4,7,2,310,5,7.80909,1,1,1,
