Local Time, UTC, Online Players, Server Load (Avg %), Server Tick Length (Avg ms), Memory (MB), Memory Lua (MB), Factions In Memory, Players In Memory, Sectors In Memory, Sectors w/ players, Longest Sector Update (Max ms), Longest Sector Update (Median ms), Longest Sector Update (Avg ms), Biggest Player Grp (Max), Biggest Player Grp (Median), Biggest Player Grp (Avg), Notes
2021-10-24 18-55-36,2021-10-24 16-55-36,1,5.8,0.9,1996.15,957.61,16,2,9,1,1008,2,11.9002,1,1,1,
2021-10-24 18-56-37,2021-10-24 16-56-37,1,2.8,1,2011.12,965.821,16,2,9,1,27,3,2.93388,1,1,1,
2021-10-24 18-57-39,2021-10-24 16-57-39,1,2.9,1,4087.48,979.202,16,2,9,1,14,3,2.88843,1,1,1,
2021-10-24 18-58-40,2021-10-24 16-58-40,1,2.6,1,2008.71,994.627,16,2,9,1,15,3,2.9562,1,1,1,
2021-10-24 18-59-41,2021-10-24 16-59-41,1,3.2,1.4,2103.99,1105.77,16,2,9,1,48,3,3.93554,1,1,1,
2021-10-24 19-00-42,2021-10-24 17-00-42,1,3.6,1.2,2166.68,1139.18,16,2,9,1,36,3,3.60744,1,1,1,
2021-10-24 19-01-42,2021-10-24 17-01-42,1,3.6,1.2,2179.95,1150.05,16,2,9,1,28,3,3.44215,1,1,1,
2021-10-24 19-02-43,2021-10-24 17-02-43,1,3.3,1.2,2187.28,1143.03,16,2,9,1,147,3,2.62397,1,1,1,
2021-10-24 19-03-44,2021-10-24 17-03-44,1,3.9,1.3,2196.48,1152.41,16,2,9,1,14,3,3.30165,1,1,1,
2021-10-24 19-04-45,2021-10-24 17-04-45,1,3.7,5.4,2218.58,1163.44,16,2,9,1,34,3,3.39174,1,1,1,
2021-10-24 19-05-46,2021-10-24 17-05-46,1,4.2,1.3,2367.23,1186.07,12,1,9,1,153,3,4.39752,1,1,1,
2021-10-24 19-06-47,2021-10-24 17-06-47,1,3.6,1.1,2370.14,1169.25,12,1,9,1,31,4,3.64215,1,1,1,
2021-10-24 19-07-48,2021-10-24 17-07-48,1,3.6,1.2,2370.65,1178.13,12,1,9,1,19,3,3.42231,1,1,1,
2021-10-24 19-08-49,2021-10-24 17-08-49,1,3.6,1.3,2383.76,1181.38,12,1,9,1,36,3,3.53058,1,1,1,
2021-10-24 19-09-50,2021-10-24 17-09-50,1,3.6,1.2,2382.01,1186.87,12,1,9,1,13,3,3.39421,1,1,1,
2021-10-24 19-10-51,2021-10-24 17-10-51,1,3.4,1.3,2384.16,1179.79,12,1,9,1,18,3,2.7843,1,1,1,
2021-10-24 19-11-52,2021-10-24 17-11-52,1,3.6,1.3,2412.64,1178.14,12,1,9,1,16,3,3.27521,1,1,1,
2021-10-24 19-12-53,2021-10-24 17-12-53,1,3.6,1.1,2417.68,1184.66,12,1,9,1,152,3,3.54876,1,1,1,
2021-10-24 19-13-54,2021-10-24 17-13-54,1,3.3,1.3,2423.77,1189.13,12,1,9,1,35,3,2.49504,1,1,1,
2021-10-24 19-14-55,2021-10-24 17-14-55,1,3.6,1.3,2433.4,1197.98,12,4,9,1,13,3,3.09256,1,1,1,
2021-10-24 19-15-56,2021-10-24 17-15-56,1,3.9,1,2549.43,1205.9,12,4,9,1,47,3,3.80579,1,1,1,
2021-10-24 19-16-57,2021-10-24 17-16-57,1,3.7,1.2,2548.02,1200.16,12,4,9,1,26,3,3.63388,1,1,1,
2021-10-24 19-17-57,2021-10-24 17-17-57,1,3.9,1.2,2552.2,1210.34,12,4,9,1,94,4,4.38678,1,1,1,
2021-10-24 19-18-58,2021-10-24 17-18-58,1,3.8,1.3,2552.95,1213.44,12,4,9,1,17,4,4.38512,1,1,1,
2021-10-24 19-19-59,2021-10-24 17-19-59,1,3.7,1.4,2571.46,1209.48,12,4,9,1,18,4,3.97769,1,1,1,
