Local Time, UTC, Online Players, Server Load (Avg %), Server Tick Length (Avg ms), Memory (MB), Memory Lua (MB), Factions In Memory, Players In Memory, Sectors In Memory, Sectors w/ players, Longest Sector Update (Max ms), Longest Sector Update (Median ms), Longest Sector Update (Avg ms), Biggest Player Grp (Max), Biggest Player Grp (Median), Biggest Player Grp (Avg), Notes
2021-10-26 23-00-44,2021-10-26 21-00-44,2,7.8,0.1,917.816,355.596,11,4,4,1,971,8,14.947,2,2,2,
2021-10-26 23-01-45,2021-10-26 21-01-45,2,5.3,0.2,923.781,370.933,11,4,4,1,144,8,9.30413,2,2,2,
2021-10-26 23-02-46,2021-10-26 21-02-46,2,5.6,0.2,928.043,380.488,11,4,4,1,46,9,9.5719,2,2,2,
2021-10-26 23-03-47,2021-10-26 21-03-47,2,5.5,0.1,933.723,379.797,11,4,4,1,46,8,9.28264,2,2,2,
2021-10-26 23-04-48,2021-10-26 21-04-48,2,6.8,0.3,959.484,382.115,11,4,4,1,83,9,10.676,2,2,2,
2021-10-26 23-05-49,2021-10-26 21-05-49,2,5.2,0.1,965.336,382.673,11,4,4,1,42,8,8.77107,2,2,2,
2021-10-26 23-06-50,2021-10-26 21-06-50,2,3.9,0.1,965.754,390.585,11,4,4,1,22,6,6.18843,2,2,2,
2021-10-26 23-07-51,2021-10-26 21-07-51,2,3.4,0.1,965.762,391.671,11,4,4,1,21,5,5.39752,2,2,2,
2021-10-26 23-08-52,2021-10-26 21-08-52,2,4,0.3,965.898,397.781,11,4,4,1,20,6,6.27273,2,2,2,
2021-10-26 23-09-53,2021-10-26 21-09-53,2,4.2,0.5,967.918,401.49,11,4,4,1,23,5,5.35207,2,2,2,
2021-10-26 23-10-54,2021-10-26 21-10-54,2,4.3,0.2,1035.59,400.61,9,4,4,1,111,5,6.05785,2,2,2,
2021-10-26 23-11-55,2021-10-26 21-11-55,2,3.2,0.3,1034.58,399.14,9,4,4,1,33,4,4.74215,2,2,2,
2021-10-26 23-12-56,2021-10-26 21-12-56,2,3.1,0.3,1034.44,407.182,9,4,5,2,50,3,3.61901,1,1,1,
