Local Time, UTC, Online Players, Server Load (Avg %), Server Tick Length (Avg ms), Memory (MB), Memory Lua (MB), Factions In Memory, Players In Memory, Sectors In Memory, Sectors w/ players, Longest Sector Update (Max ms), Longest Sector Update (Median ms), Longest Sector Update (Avg ms), Biggest Player Grp (Max), Biggest Player Grp (Median), Biggest Player Grp (Avg), Notes
2021-10-22 01-15-57,2021-10-21 23-15-57,3,10.2,0.2,959.723,392.015,10,3,6,2,1043,7,23.5034,2,2,1,
2021-10-22 01-16-58,2021-10-21 23-16-58,3,4.4,0.2,1015.67,405.096,10,3,7,1,189,7,7.5562,3,3,3,
2021-10-22 01-17-59,2021-10-21 23-17-59,3,3.4,0.2,1016.91,413.336,10,4,7,1,124,8,8.73884,3,3,3,
2021-10-22 01-19-00,2021-10-21 23-19-00,3,3.5,0.2,1042.88,417.239,10,4,8,1,50,9,9.35207,3,3,3,
2021-10-22 01-20-01,2021-10-21 23-20-01,3,4.2,0.4,1126.82,429.05,10,4,8,2,412,8,8.83636,2,2,1,
2021-10-22 01-21-02,2021-10-21 23-21-02,3,5.2,0.4,1128.89,434.086,10,4,8,2,147,8,9.36777,2,2,1,
2021-10-22 01-22-03,2021-10-21 23-22-03,3,5.1,0.2,1131.48,439.44,10,4,7,2,46,8,8.32149,2,2,1,
2021-10-22 01-23-04,2021-10-21 23-23-04,3,5.2,0.4,1131.5,438.656,10,4,7,2,29,7,7.69917,2,2,1,
2021-10-22 01-24-05,2021-10-21 23-24-05,3,4.5,0.2,1133.04,441.8,10,4,7,2,21,7,6.87934,2,2,1,
2021-10-22 01-25-06,2021-10-21 23-25-06,3,6.1,0.3,1145.9,453.217,10,4,7,2,178,9,9.79422,2,2,1,
2021-10-22 01-26-07,2021-10-21 23-26-07,3,6.2,0.3,1199.8,439.347,10,4,7,2,146,8,9.2438,2,2,1,
2021-10-22 01-27-08,2021-10-21 23-27-08,3,4.4,0.2,1200.66,442.916,10,4,7,2,35,6,6.71818,2,2,1,
2021-10-22 01-28-09,2021-10-21 23-28-09,3,4.4,0.3,1205.61,449.142,10,4,7,2,35,6,6.63471,2,2,1,
2021-10-22 01-29-10,2021-10-21 23-29-10,3,4.7,0.2,1215.12,457.995,10,4,7,2,15,7,7.02645,2,2,1,
2021-10-22 01-30-11,2021-10-21 23-30-11,3,4.7,0.4,1303.53,508.877,10,4,10,2,405,7,7.75868,2,2,1,
2021-10-22 01-31-12,2021-10-21 23-31-12,3,3.8,0.5,1572.71,572.789,10,4,12,2,46,7,7.44215,2,2,1,
2021-10-22 01-32-13,2021-10-21 23-32-13,3,3.7,0.3,1583.25,576.712,10,4,13,3,99,7,6.96446,1,1,1,
2021-10-22 01-33-14,2021-10-21 23-33-14,3,4,0.6,1898.82,686.89,10,4,17,3,196,7,7.40165,1,1,1,
2021-10-22 01-34-15,2021-10-21 23-34-15,3,4.6,0.8,1953.66,704.003,10,4,17,3,154,9,10.476,1,1,1,
2021-10-22 01-35-16,2021-10-21 23-35-16,3,4.6,0.8,1972.16,684.28,10,4,16,3,101,9,9.03306,1,1,1,
2021-10-22 01-36-17,2021-10-21 23-36-17,3,4.1,0.8,1977.36,645.506,10,4,13,2,154,8,8.37769,2,2,1,
2021-10-22 01-37-18,2021-10-21 23-37-18,3,4.5,0.5,1968.82,608.629,10,4,12,2,250,9,10.2198,2,2,1,
2021-10-22 01-38-19,2021-10-21 23-38-19,3,4.2,0.5,1970.34,597.818,10,4,12,2,37,8,8.44215,2,2,1,
2021-10-22 01-39-19,2021-10-21 23-39-19,3,3.5,0.6,1971.75,598.842,10,4,12,2,22,7,7.29008,2,2,1,
2021-10-22 01-40-20,2021-10-21 23-40-20,3,5.1,0.3,1968.43,534.764,10,4,10,3,256,8,8.99587,1,1,1,
2021-10-22 01-41-21,2021-10-21 23-41-21,3,4.5,0.5,1966.58,546.732,11,4,12,3,40,7,7.29421,1,1,1,
2021-10-22 01-42-22,2021-10-21 23-42-22,3,3.8,0.5,1966.5,534.598,11,4,15,3,203,7,7.23223,1,1,1,
2021-10-22 01-43-23,2021-10-21 23-43-23,3,3.3,0.7,1972.66,548.776,12,4,18,3,206,6,6.72562,1,1,1,
2021-10-22 01-44-24,2021-10-21 23-44-24,3,3,0.5,1978.74,564.289,13,4,21,3,43,6,6.55207,1,1,1,
