Local Time, UTC, Online Players, Server Load (Avg %), Server Tick Length (Avg ms), Memory (MB), Memory Lua (MB), Factions In Memory, Players In Memory, Sectors In Memory, Sectors w/ players, Longest Sector Update (Max ms), Longest Sector Update (Median ms), Longest Sector Update (Avg ms), Biggest Player Grp (Max), Biggest Player Grp (Median), Biggest Player Grp (Avg), Notes
2021-10-26 17-09-47,2021-10-26 15-09-47,1,5.2,0.3,1165.96,436.714,14,4,8,1,1173,3,22.228,1,1,1,
2021-10-26 17-10-48,2021-10-26 15-10-48,2,2.5,0.7,1214.48,486.401,14,4,8,2,565,3,12.5314,1,1,1,
2021-10-26 17-11-49,2021-10-26 15-11-49,2,2.7,0.2,1226.48,497.046,14,4,8,2,14,4,3.77769,1,1,1,
2021-10-26 17-12-50,2021-10-26 15-12-50,2,3.2,0.6,1373.16,529.687,15,4,9,2,2313,4,15.6273,1,1,1,
2021-10-26 17-13-51,2021-10-26 15-13-51,2,3.2,0.4,1457.14,536.462,15,4,10,2,864,4,4.75702,1,1,1,
2021-10-26 17-14-52,2021-10-26 15-14-52,2,2.7,0.5,1493.8,554.988,16,4,11,2,116,4,4.15124,1,1,1,
2021-10-26 17-15-53,2021-10-26 15-15-53,2,2.7,0.6,1494,574.638,16,4,11,2,403,4,4.83554,1,1,1,
2021-10-26 17-16-54,2021-10-26 15-16-54,2,2.7,1,1621.87,583.795,16,4,12,2,125,4,4.31322,1,1,1,
2021-10-26 17-17-55,2021-10-26 15-17-55,2,2.9,0.3,1648.77,577.588,16,4,11,2,39,5,5.25041,1,1,1,
2021-10-26 17-18-56,2021-10-26 15-18-56,2,3.1,0.5,1652.39,564.476,16,4,10,2,48,5,5.45537,1,1,1,
2021-10-26 17-19-57,2021-10-26 15-19-57,2,4,0.4,1693.34,562.943,16,4,9,2,77,5,5.65207,1,1,1,
2021-10-26 17-20-58,2021-10-26 15-20-58,2,3.5,0.4,1693.49,575.988,16,4,9,2,95,5,5.84793,1,1,1,
2021-10-26 17-21-59,2021-10-26 15-21-59,2,3.4,0.3,1690.13,569.379,16,4,8,2,95,5,5.51818,1,1,1,
2021-10-26 17-23-00,2021-10-26 15-23-00,2,3.6,0.5,1899.05,659.111,18,4,11,2,39,4,4.58347,1,1,1,
2021-10-26 17-24-00,2021-10-26 15-24-00,2,2.7,0.5,1902.77,659.041,18,4,11,2,36,4,3.94215,1,1,1,
2021-10-26 17-25-01,2021-10-26 15-25-01,2,2.8,0.5,1903.95,658.416,18,4,11,2,16,4,3.85785,1,1,1,
2021-10-26 17-26-02,2021-10-26 15-26-02,2,2.7,0.6,1912.41,659.223,18,4,11,2,18,4,3.81074,1,1,1,
2021-10-26 17-27-03,2021-10-26 15-27-03,2,2.7,0.7,1967.95,675.576,18,4,12,2,46,4,3.92893,1,1,1,
2021-10-26 17-28-04,2021-10-26 15-28-04,2,2.8,0.4,2228.59,635.909,18,4,10,2,101,4,4.35702,1,1,1,
2021-10-26 17-29-05,2021-10-26 15-29-05,2,2.7,0.7,2377.33,742.888,18,4,14,2,237,4,4.51983,1,1,1,
