Local Time, UTC, Online Players, Server Load (Avg %), Server Tick Length (Avg ms), Memory (MB), Memory Lua (MB), Factions In Memory, Players In Memory, Sectors In Memory, Sectors w/ players, Longest Sector Update (Max ms), Longest Sector Update (Median ms), Longest Sector Update (Avg ms), Biggest Player Grp (Max), Biggest Player Grp (Median), Biggest Player Grp (Avg), Notes
2021-10-26 00-57-50,2021-10-25 22-57-50,1,8.2,1.8,1159.26,443.681,12,2,6,1,1361,2,32.5219,1,1,1,
2021-10-26 00-58-51,2021-10-25 22-58-51,1,4.1,1.6,1198.29,443.895,13,2,7,1,41,2,2.87769,1,1,1,
2021-10-26 00-59-51,2021-10-25 22-59-51,1,3.6,1.5,1224.89,461.499,13,2,9,1,36,1,1.69091,1,1,1,
2021-10-26 01-00-51,2021-10-25 23-00-51,2,3.6,1.9,1265.62,481.057,13,3,9,2,782,2,2.90165,1,1,1,
2021-10-26 01-01-52,2021-10-25 23-01-52,2,4.5,2.1,1301.03,488.879,13,4,10,2,48,2,3.17603,1,1,1,
2021-10-26 01-02-52,2021-10-25 23-02-52,2,4.8,2.1,1317.84,493.357,13,4,10,2,39,3,4.39587,1,1,1,
2021-10-26 01-03-53,2021-10-25 23-03-53,2,4.5,2.3,1315.78,494.791,13,4,10,2,34,3,3.41157,1,1,1,
2021-10-26 01-04-53,2021-10-25 23-04-53,2,4.4,1.6,1414.49,512.693,13,4,9,2,48,2,2.87107,1,1,1,
2021-10-26 01-05-53,2021-10-25 23-05-53,2,4.2,1.7,1422.81,518.394,13,4,9,2,43,2,2.68678,1,1,1,
2021-10-26 01-06-54,2021-10-25 23-06-54,2,4.7,1.7,1452.01,525.37,13,4,8,2,103,3,3.92066,1,1,1,
2021-10-26 01-07-54,2021-10-25 23-07-54,2,6.3,1.4,1514.06,531.302,13,4,8,2,143,3,5.19091,1,1,1,
2021-10-26 01-08-54,2021-10-25 23-08-54,2,4.9,1.6,1515.08,538.51,13,4,8,2,35,3,3.40744,1,1,1,
2021-10-26 01-09-55,2021-10-25 23-09-55,2,4.5,1.4,1511.55,526.772,13,4,7,2,39,3,3.00579,1,1,1,
